baid,acvalue,aid,sid,cid,geneid,pmid,aidtype,aidmdate,hasdrc,rnai,activity,protacxn,acname,acqualifier,aidsrcname,aidname,cmpdname,targetname,targeturl,ecs,repacxn,taxid,cellids,targettaxid,anatomyid,anatomy
402103128,0.00016,1796167,381752960,132143265,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,SKBR3 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-N-[5-[[5-(6-aminoindazole-1-carbonyl)-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103138,0.00018,1796167,381752972,132143243,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,SKBR3 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-N-[5-[[5-[5-(aminomethyl)indole-1-carbonyl]-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
347055770,0.0002,1250405,318392799,78209992,2064,26313252,Confirmatory,20220830,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of EGFR exon19 deletion mutant (unknown origin) by HTRF assay in presence of Km of ATP,"(R)-4-((3-chloro-2-fluorophenyl)amino)-7-methoxyquinazolin-6-yl 2,4-dimethylpiperazine-1-carboxylate",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
354629276,0.0002,1274048,336869239,127027694,2064,26639762,Confirmatory,20220830,0,0,Active,P04626,Ki,=,ChEMBL,Inhibition of EGFR deletion (746 to 750 residues) mutant (unknown origin),"N-(1H-indazol-3-yl)-7,7-dimethyl-2-(1H-pyrazol-4-yl)-5H-furo[3,4-d]pyrimidin-4-amine",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103280,0.0002,1796167,381752957,132143245,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,SKBR3 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-1-methyl-N-[1-methyl-5-[[1-methyl-5-(5-methylsulfanylindole-1-carbonyl)pyrrol-3-yl]carbamoyl]pyrrol-3-yl]imidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103131,0.00028,1796167,381752961,132143190,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,SKBR3 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-N-[5-[[5-(6-aminoindole-1-carbonyl)-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103433,0.00029,1796168,381752969,132143189,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,NCI-N87 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(12aS)-8-methoxy-6-oxo-12a,13-dihydroindolo[2,1-c][1,4]benzodiazepin-9-yl]oxy]butanoylamino]-N-[5-[[5-(5-aminoindole-1-carbonyl)-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
354629437,0.0003,1274047,103177459,176870,2064,26639762,Confirmatory,20220830,0,0,Active,P04626,Ki,=,ChEMBL,Inhibition of EGFR L858R mutant (unknown origin),Erlotinib,ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103283,0.0003,1796167,381752962,132163054,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,SKBR3 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"2-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-N-[5-[[5-(5-aminoindole-1-carbonyl)-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1,3-thiazole-4-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103436,0.0003,1796168,381752955,132162946,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,NCI-N87 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-N-[5-[[5-(5-methoxyindole-1-carbonyl)-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
355640536,0.00031,1309513,336902653,74223816,2064,27387355,Confirmatory,20220830,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of recombinant human EGFR L858R mutant expressed in baculovirus infected insect cells preincubated for 5 mins followed by ATP addition for 30 mins by HTRF assay,"(4S)-N-[4-(3-chloro-4-fluoroanilino)-7-methoxyquinazolin-6-yl]-2-oxo-1,3-oxazolidine-4-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103430,0.00031,1796168,381752970,132143289,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,NCI-N87 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-N-[5-[[5-(5-aminoindazole-1-carbonyl)-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
389705955,0.00034,1919057,475727197,166034047,2064,"",Confirmatory,20231017,0,0,Active,P04626,IC50,"",BindingDB,In vitro kinase inhibition assay from US Patent US11505527: 'Tetrahydroquinoline derivatives and a process of preparation thereof',"(3E)-2-amino-3-[hydroxy(phenyl)methylidene]-7,7-dimethyl-4-[4-(4-methylphenyl)sulfonylphenyl]-6,8-dihydro-4H-quinolin-5-one",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
355640769,0.00035,1309513,336903600,127050067,2064,27387355,Confirmatory,20220830,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of recombinant human EGFR L858R mutant expressed in baculovirus infected insect cells preincubated for 5 mins followed by ATP addition for 30 mins by HTRF assay,"(4S,5R)-N-[4-(3-chloro-4-fluoroanilino)-7-methoxyquinazolin-6-yl]-5-methyl-2-oxo-1,3-oxazolidine-4-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103427,0.00035,1796168,381752957,132143245,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,NCI-N87 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-1-methyl-N-[1-methyl-5-[[1-methyl-5-(5-methylsulfanylindole-1-carbonyl)pyrrol-3-yl]carbamoyl]pyrrol-3-yl]imidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
355640101,0.00038,1309513,336903931,74223711,2064,27387355,Confirmatory,20220830,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of recombinant human EGFR L858R mutant expressed in baculovirus infected insect cells preincubated for 5 mins followed by ATP addition for 30 mins by HTRF assay,"(4S)-N-[4-(3-bromoanilino)-7-methoxyquinazolin-6-yl]-2-oxo-1,3-oxazolidine-4-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
155742016,0.0004,473322,103455939,4709,2064,20222733,Confirmatory,20220830,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of EGFR Leu858Arg mutant by HTRF assay,N-{4-[(3-Bromophenyl)amino]quinazolin-6-Yl}propanamide,ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
354629284,0.0004,1274048,336870589,92132732,2064,26639762,Confirmatory,20220830,0,0,Active,P04626,Ki,=,ChEMBL,Inhibition of EGFR deletion (746 to 750 residues) mutant (unknown origin),"N-(7-chloro-1H-indazol-3-yl)-7,7-dimethyl-2-(1H-pyrazol-4-yl)-5H-furo[3,4-d]pyrimidin-4-amine",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103125,0.0004,1796167,381752950,132143247,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,SKBR3 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-N-[5-(5-aminoindole-1-carbonyl)-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
380779845,0.00042,1905772,482056461,168275910,2064,35319895,Confirmatory,20230629,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of HER2 D769H mutant (unknown origin) incubated for 120 mins in presence of 33P-ATP by P81 ion exchange cellulose chromatography,"(Z)-N-[7-ethoxy-4-[3-methyl-4-([1,2,4]triazolo[4,3-c]pyrimidin-7-yloxy)anilino]quinazolin-6-yl]-2-fluoro-3-[(2R)-1-methylpyrrolidin-2-yl]prop-2-enamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
380767924,0.00043,1905773,482056461,168275910,2064,35319895,Confirmatory,20230629,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of HER2 D769Y mutant (unknown origin) incubated for 120 mins in presence of 33P-ATP by P81 ion exchange cellulose chromatography,"(Z)-N-[7-ethoxy-4-[3-methyl-4-([1,2,4]triazolo[4,3-c]pyrimidin-7-yloxy)anilino]quinazolin-6-yl]-2-fluoro-3-[(2R)-1-methylpyrrolidin-2-yl]prop-2-enamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103292,0.00043,1796168,381752949,132143267,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,NCI-N87 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-N-[5-[[5-(5-aminoindole-1-carbonyl)-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
101863455,0.0005,260896,103480274,11613187,2064,16480284,Confirmatory,20220830,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of erbB2 fusion protein expressed in baculovirus by ELISA,"N-[4-[(3-bromo-4-fluorophenyl)amino]pyrido[3,4-d]pyrimidin-6-yl]-5-(4-methyl-1-piperazinyl)-2-pentynamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
101864179,0.0005,260899,103480053,11713043,2064,16480284,Confirmatory,20220830,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of HER stimulated human erbB autophosphorylation in MDA-MB-453 cells,"N-[4-[(3-bromo-4-fluorophenyl)amino]pyrido[3,4-d]pyrimidin-6-yl]-5-(4-morpholinyl)-2-pentynamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,395,"","",""
155742020,0.0005,473322,103746579,46197128,2064,20222733,Confirmatory,20220830,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of EGFR Leu858Arg mutant by HTRF assay,N-(4-(3-Bromophenylamino)quinolin-6-yl)-4-(dimethylamino)-butanamide,ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
345665448,0.0005,1168534,312363556,46865125,2064,25305330,Confirmatory,20220830,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of HER2 (unknown origin) assessed as reduction in autophosphorylation by ELISA method,N-[3-chloro-4-[(3-fluorophenyl)methoxy]phenyl]-6-[5-[(1S)-1-(dimethylamino)-2-methylsulfonylethyl]furan-2-yl]quinazolin-4-amine,ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
354629280,0.0005,1274048,336870997,92132733,2064,26639762,Confirmatory,20220830,0,0,Active,P04626,Ki,<,ChEMBL,Inhibition of EGFR deletion (746 to 750 residues) mutant (unknown origin),"N-(1H-indazol-3-yl)-7,7-dimethyl-2-(2-methylpyrazol-3-yl)-5H-furo[3,4-d]pyrimidin-4-amine",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
354629441,0.0005,1274047,336869239,127027694,2064,26639762,Confirmatory,20220830,0,0,Active,P04626,Ki,=,ChEMBL,Inhibition of EGFR L858R mutant (unknown origin),"N-(1H-indazol-3-yl)-7,7-dimethyl-2-(1H-pyrazol-4-yl)-5H-furo[3,4-d]pyrimidin-4-amine",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
354629445,0.0005,1274047,336870997,92132733,2064,26639762,Confirmatory,20220830,0,0,Active,P04626,Ki,<,ChEMBL,Inhibition of EGFR L858R mutant (unknown origin),"N-(1H-indazol-3-yl)-7,7-dimethyl-2-(2-methylpyrazol-3-yl)-5H-furo[3,4-d]pyrimidin-4-amine",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402104278,0.00055,1796169,381752956,132143236,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,JIMT1 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"methyl 1-[4-[[4-[[4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-1-methylimidazole-2-carbonyl]amino]-1-methylpyrrole-2-carbonyl]amino]-1-methylpyrrole-2-carbonyl]indole-5-carboxylate",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
380776661,0.00056,1905775,482056461,168275910,2064,35319895,Confirmatory,20230629,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of HER2 R896C mutant (unknown origin) incubated for 120 mins in presence of 33P-ATP by P81 ion exchange cellulose chromatography,"(Z)-N-[7-ethoxy-4-[3-methyl-4-([1,2,4]triazolo[4,3-c]pyrimidin-7-yloxy)anilino]quinazolin-6-yl]-2-fluoro-3-[(2R)-1-methylpyrrolidin-2-yl]prop-2-enamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
389705956,0.00056,1919057,46516901,216239,2064,"",Confirmatory,20231017,0,0,Active,P04626,IC50,"",BindingDB,In vitro kinase inhibition assay from US Patent US11505527: 'Tetrahydroquinoline derivatives and a process of preparation thereof',Sorafenib,ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
340071105,0.00057,770082,103768626,10184653,2064,23930994,Confirmatory,20220830,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of EGFR exon 19 deletion activating mutant phosphorylation in human PC9 cells after 2 hrs by fluorescence assay,Afatinib,ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,45732,"","",""
402103135,0.00058,1796167,381752974,132143285,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,SKBR3 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"methyl 1-[4-[[4-[[4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-1-methylimidazole-2-carbonyl]amino]-1-methylpyrrole-2-carbonyl]amino]-1-methylpyrrole-2-carbonyl]pyrrolo[2,3-b]pyridine-5-carboxylate",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103023,0.00059,1796166,381752957,132143245,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,BT474 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-1-methyl-N-[1-methyl-5-[[1-methyl-5-(5-methylsulfanylindole-1-carbonyl)pyrrol-3-yl]carbamoyl]pyrrol-3-yl]imidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
389711616,0.0006,1919057,475727196,166034050,2064,"",Confirmatory,20231017,0,0,Active,P04626,IC50,"",BindingDB,In vitro kinase inhibition assay from US Patent US11505527: 'Tetrahydroquinoline derivatives and a process of preparation thereof',"Ethyl 4-[4-(benzenesulfonyl)phenyl]-7,7-dimethyl-5-oxo-2-(trifluoromethyl)-1,4,6,8-tetrahydroquinoline-3-carboxylate",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103030,0.0006,1796166,381752955,132162946,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,BT474 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-N-[5-[[5-(5-methoxyindole-1-carbonyl)-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402104031,0.0006,1796169,381752960,132143265,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,JIMT1 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-N-[5-[[5-(6-aminoindazole-1-carbonyl)-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
