AID,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,AID_type,PUBCHEM_ACTIVITY_SCORE,activity_added,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Value,Standard Units,Activity Comment,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Target Accession(s),Ligand,Target,IC50 Qualifier,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,Panel Name,Panel Target,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,qualifier,pKi,Activity Qualifier,EC50 Qualifier,EC50,target_name
68106,103244983,123631,Active,confirmatory,<= 10uM is active,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.24,IC50,=,0.24,0,0,0,0,0,240,nM,,,,,,,,,,,,,ErbB-2,,,,,,,,,,,,,,,,,,,,erbB-2
91107,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,1.604,IC50,=,1.604,0,0,0,0,0,1604,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
256662,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,1.1,Kd,=,0,0,0,0,1.1,0,1100,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
260896,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.343,IC50,=,0.343,0,0,0,0,0,343,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
260903,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.599,IC50,=,0.599,0,0,0,0,0,599,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
410944,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,2.7,IC50,=,2.7,0,0,0,0,0,2700,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
435796,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,3.5,Kd,=,0,0,0,0,3.5,0,3500,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
463639,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.24,IC50,=,0.24,0,0,0,0,0,240,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
580189,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.24,IC50,=,0.24,0,0,0,0,0,240,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
624804,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,3.5,Kd,=,0,0,0,0,3.5,0,3500,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
638068,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.24,IC50,=,0.24,0,0,0,0,0,240,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1068981,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.28,IC50,=,0.28,0,0,0,0,0,280,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1171421,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,1,IC50,=,1,0,0,0,0,0,1000,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1312556,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,1.83,IC50,=,1.83,0,0,0,0,0,1830,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1315979,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.343,IC50,=,0.343,0,0,0,0,0,343,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1330932,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,3.7,IC50,=,3.7,0,0,0,0,0,3700,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1428363,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.024,IC50,=,0.024,0,0,0,0,0,24,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1574931,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.151,IC50,=,0.151,0,0,0,0,0,151,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1632302,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.281,IC50,=,0.281,0,0,0,0,0,281,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1656984,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.343,IC50,=,0.343,0,0,0,0,0,343,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1667576,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.281,IC50,=,0.281,0,0,0,0,0,281,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1676531,103244983,123631,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.097,IC50,=,0.097,0,0,0,0,0,97,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1795774,8035066,123631,Active,confirmatory,,"Compounds with any of Ki, IC50, Kd, or EC50 activity value <= 10uM are labeled as ""Active"".",,0.24,IC50,,0.24,0,0,0,0,0,,,,,,,,,,,,240,P04626,BDBM5447,Receptor tyrosine-protein kinase erbB-2,,,,,,,,,,,,,,,,,,,,
69713,103673639,156413,Active,confirmatory,<= 10uM is active,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.009,IC50,=,0.009,0,0,0,0,0,9,nM,,,,,,,,,,,,,ErbB-2,,,,,,,,,,,,,,,,,,,,erbB-2
260896,103673639,156413,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.02,IC50,=,0.02,0,0,0,0,0,20,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
260899,103673639,156413,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.0074,IC50,=,0.0074,0,0,0,0,0,7.4,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
260903,103673639,156413,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.016,IC50,=,0.016,0,0,0,0,0,16,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1315979,103673639,156413,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.011,IC50,=,0.011,0,0,0,0,0,11,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1315981,103673639,156413,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.016,IC50,=,0.016,0,0,0,0,0,16,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
68098,103202250,156414,Active,confirmatory,<= 10uM is active,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.009,IC50,=,0.009,0,0,0,0,0,9,nM,,,,,,,,,,,,,ErbB-2,,,,,,,,,,,,,,,,,,,,erbB-2
91107,103202250,156414,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.529,IC50,=,0.529,0,0,0,0,0,529,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
256662,103202250,156414,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.0084,Kd,=,0,0,0,0,0.0084,0,8.4,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
392130,103202250,156414,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.048,IC50,=,0.048,0,0,0,0,0,48,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
410944,103202250,156414,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.08,IC50,=,0.08,0,0,0,0,0,80,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
435796,103202250,156414,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.087,Kd,=,0,0,0,0,0.087,0,87,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
624804,103202250,156414,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.056,Kd,=,0,0,0,0,0.056,0,56,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
719887,103202250,156414,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.005,IC50,=,0.005,0,0,0,0,0,5,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1424370,103202250,156414,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.03,IC50,=,0.03,0,0,0,0,0,30,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1545482,103202250,156414,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.019,IC50,=,0.019,0,0,0,0,0,19,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
68106,103177459,176870,Active,confirmatory,<= 10uM is active,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.76,IC50,=,0.76,0,0,0,0,0,760,nM,,,,,,,,,,,,,ErbB-2,,,,,,,,,,,,,,,,,,,,erbB-2
256662,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,5.1,Kd,=,0,0,0,0,5.1,0,5100,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
260896,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.511,IC50,=,0.511,0,0,0,0,0,511,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
260903,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.299,IC50,=,0.299,0,0,0,0,0,299,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
383063,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.87,IC50,=,0.87,0,0,0,0,0,870,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
410944,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,3.5,IC50,=,3.5,0,0,0,0,0,3500,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
456091,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.16,IC50,=,0.16,0,0,0,0,0,160,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
456100,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.12,IC50,=,0.12,0,0,0,0,0,120,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
460690,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.16,IC50,=,0.16,0,0,0,0,0,160,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
461252,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.1345,IC50,=,0.1345,0,0,0,0,0,134.5,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
463639,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.35,IC50,=,0.35,0,0,0,0,0,350,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
474117,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,5.2,IC50,=,5.2,0,0,0,0,0,5200,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
492321,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.16,IC50,=,0.16,0,0,0,0,0,160,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
517324,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,6.73,IC50,=,6.73,0,0,0,0,0,6730,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
580189,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.76,IC50,=,0.76,0,0,0,0,0,760,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
620240,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.16,IC50,=,0.16,0,0,0,0,0,160,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
624804,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,2.9,Kd,=,0,0,0,0,2.9,0,2900,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
634138,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.3,IC50,=,0.3,0,0,0,0,0,300,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
638068,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.76,IC50,=,0.76,0,0,0,0,0,760,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
649306,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.14,IC50,=,0.14,0,0,0,0,0,140,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
722488,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.16,IC50,=,0.16,0,0,0,0,0,160,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
725964,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.16,IC50,=,0.16,0,0,0,0,0,160,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1068981,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.37,IC50,=,0.37,0,0,0,0,0,370,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1119725,103177459,176870,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.12,IC50,=,0.12,0,0,0,0,0,120,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
